date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT,week_number,year_number,year-week,weeknum,,h,c,,
9/8/2003 0:00,0.581771,0.639059,145,184,475,267,74328,37,2003,2003-36,36,,,,,
9/15/2003 0:00,0.654162,0.636732,136,183,461,264,72401,38,2003,2003-37,37,,,,,
9/22/2003 0:00,0.749504,0.747829,135,221,533,268,71273,39,2003,2003-38,38,,,,,
9/29/2003 0:00,0.884021,0.960873,808,881,2442,830,254144,40,2003,2003-39,39,0,#N/A,#N/A,,
10/6/2003 0:00,1.02773,1.04325,913,1132,2932,931,281045,41,2003,2003-40,40,1,0,#N/A,,
10/13/2003 0:00,1.28296,1.0545,878,1147,3031,974,287436,42,2003,2003-41,41,0,1,#N/A,,
10/20/2003 0:00,1.32661,1.11231,1006,1369,3475,1007,312412,43,2003,2003-42,42,0,0,#N/A,,
10/27/2003 0:00,1.77304,1.41274,1207,2080,4690,1074,331980,44,2003,2003-43,43,3,0,#N/A,,
11/3/2003 0:00,2.43814,1.72703,1542,2735,5790,1111,335258,45,2003,2003-44,44,12,3,#N/A,,
11/10/2003 0:00,2.72605,2.407,2185,4133,8385,1141,348359,46,2003,2003-45,45,44,12,#N/A,,
11/17/2003 0:00,3.73192,3.10962,2561,5684,11141,1129,358275,47,2003,2003-46,46,90,44,#N/A,,
11/24/2003 0:00,4.54894,4.30779,3247,4933,11742,1118,272576,48,2003,2003-47,47,116,90,#N/A,,
12/1/2003 0:00,5.39906,4.8303,4734,7817,18948,1189,392274,49,2003,2003-48,48,159,116,#N/A,,
12/8/2003 0:00,7.38735,6.42905,6620,11550,24962,1173,388269,50,2003,2003-49,49,185,159,#N/A,,
12/15/2003 0:00,7.48097,6.86734,6434,9851,23699,1148,345097,51,2003,2003-50,50,231,185,#N/A,,
12/22/2003 0:00,7.62797,7.06496,5336,5231,16415,1122,232344,52,2003,2003-51,51,185,231,#N/A,,
12/29/2003 0:00,5.14051,4.55115,3391,2894,11332,1139,248992,53,2003,2003-52,52,126,185,#N/A,,
1/5/2004 0:00,2.89129,2.41833,1930,2299,7602,1160,314349,2,2004,2004-1,1,54,54,#N/A,,
1/12/2004 0:00,2.10429,1.80906,1679,1857,5583,1141,308614,3,2004,2004-2,2,47,47,#N/A,,
1/19/2004 0:00,1.88696,1.71202,1721,1604,4961,1084,289774,4,2004,2004-3,3,25,25,#N/A,,
1/26/2004 0:00,1.7766,1.5425,1487,1543,4436,1071,287586,5,2004,2004-4,4,7,7,#N/A,,
2/2/2004 0:00,1.46001,1.43787,1454,1448,4251,1054,295646,6,2004,2004-5,5,8,8,#N/A,,
2/9/2004 0:00,1.37787,1.32427,1420,1297,3824,986,288762,7,2004,2004-6,6,3,3,#N/A,,
2/16/2004 0:00,1.30532,1.30726,1301,1255,3691,1004,282347,8,2004,2004-7,7,2,2,#N/A,,
2/23/2004 0:00,1.08691,1.03698,956,1038,2916,948,281202,9,2004,2004-8,8,3,3,#N/A,,
3/1/2004 0:00,0.991888,1.01032,925,910,2744,894,271597,10,2004,2004-9,9,0,0,#N/A,,
3/8/2004 0:00,1.02765,1.05249,878,888,2708,897,257294,11,2004,2004-10,10,3,3,#N/A,,
3/15/2004 0:00,1.0579,1.02009,730,826,2487,849,243802,12,2004,2004-11,11,1,1,#N/A,,
3/22/2004 0:00,0.849361,0.924419,760,733,2300,859,248805,13,2004,2004-12,12,0,0,#N/A,,
3/29/2004 0:00,0.747127,0.790645,610,611,1858,828,234998,14,2004,2004-13,13,1,1,#N/A,,
4/5/2004 0:00,0.661708,0.80261,583,566,1705,774,212432,15,2004,2004-14,14,0,0,#N/A,,
4/12/2004 0:00,0.679514,0.83613,545,573,1749,755,209178,16,2004,2004-15,15,0,0,#N/A,,
4/19/2004 0:00,0.633071,0.792436,501,511,1615,679,203802,17,2004,2004-16,16,0,0,#N/A,,
4/26/2004 0:00,0.569894,0.683588,470,404,1331,658,194708,18,2004,2004-17,17,0,0,#N/A,,
5/3/2004 0:00,0.591357,0.757452,435,491,1394,629,184038,19,2004,2004-18,18,0,0,#N/A,,
5/10/2004 0:00,0.589044,0.788585,449,443,1327,599,168276,20,2004,2004-19,19,1,0,#N/A,,
5/17/2004 0:00,0.67864,0.812171,451,380,1262,553,155386,21,2004,2004-20,20,0,0,#N/A,,
5/24/2004 0:00,0.637558,0.804463,375,349,1070,463,133008,22,2004,2004-21,21,0,0,#N/A,,
5/31/2004 0:00,0.813309,0.877701,391,308,1061,452,120884,23,2004,2004-22,22,0,0,#N/A,,
6/7/2004 0:00,0.834551,0.741453,355,309,987,443,133117,24,2004,2004-23,23,1,0,#N/A,,
6/14/2004 0:00,0.616174,0.661022,307,240,851,426,128740,25,2004,2004-24,24,6,0,#N/A,,
6/21/2004 0:00,0.513286,0.715109,277,284,887,423,124037,26,2004,2004-25,25,1,0,#N/A,,
6/28/2004 0:00,0.351881,0.562241,238,183,698,408,124146,27,2004,2004-26,26,1,0,#N/A,,
7/5/2004 0:00,0.542621,0.786808,233,205,710,381,90238,28,2004,2004-27,27,3,0,#N/A,,
7/12/2004 0:00,0.581036,0.860658,249,280,836,378,97135,29,2004,2004-28,28,7,0,#N/A,,
7/19/2004 0:00,0.495486,0.689944,259,200,659,370,95515,30,2004,2004-29,29,10,0,#N/A,,
7/26/2004 0:00,0.61209,0.779691,260,230,719,363,92216,31,2004,2004-30,30,25,0,#N/A,,
8/2/2004 0:00,0.531491,0.628144,213,235,733,345,116693,32,2004,2004-31,31,32,0,#N/A,,
8/9/2004 0:00,0.519987,0.902459,243,256,809,334,89644,33,2004,2004-32,32,34,0,#N/A,,
8/16/2004 0:00,0.574476,0.806443,256,256,770,335,95481,34,2004,2004-33,33,52,0,#N/A,,
8/23/2004 0:00,0.663175,0.874888,259,265,799,333,91326,35,2004,2004-34,34,51,0,#N/A,,
8/30/2004 0:00,0.614691,0.993213,279,358,960,326,96656,36,2004,2004-35,35,58,0,#N/A,,
9/6/2004 0:00,0.656823,0.876141,281,309,913,337,104207,37,2004,2004-36,36,59,0,#N/A,,
9/13/2004 0:00,0.723016,0.948092,342,413,1122,341,118343,38,2004,2004-37,37,58,0,#N/A,,
9/20/2004 0:00,0.691857,0.926943,322,416,1089,336,117483,39,2004,2004-38,38,54,0,#N/A,,
9/27/2004 0:00,0.782758,0.971643,333,382,1116,364,114857,40,2004,2004-39,39,43,0,#N/A,,
10/4/2004 0:00,0.982275,0.897159,877,1256,3171,1176,353449,41,2004,2004-40,40,33,0,#N/A,,
10/11/2004 0:00,1.01821,1.02248,1071,1373,3631,1187,355116,42,2004,2004-41,41,22,1,#N/A,,
10/18/2004 0:00,1.1768,1.06296,1240,1534,4019,1267,378094,43,2004,2004-42,42,25,0,#N/A,,
10/25/2004 0:00,1.30121,1.14696,1190,1671,4369,1293,380921,44,2004,2004-43,43,18,0,#N/A,,
11/1/2004 0:00,1.27746,1.20495,1327,1718,4551,1302,377692,45,2004,2004-44,44,9,0,#N/A,,
11/8/2004 0:00,1.40387,1.30517,1497,1874,4969,1344,380718,46,2004,2004-45,45,6,1,#N/A,,
11/15/2004 0:00,1.40301,1.28699,1531,1874,4983,1336,387182,47,2004,2004-46,46,1,6,#N/A,,
11/22/2004 0:00,1.73975,1.59468,1490,1678,4713,1341,295546,48,2004,2004-47,47,5,1,#N/A,,
11/29/2004 0:00,1.56894,1.39714,1538,2059,5407,1369,387004,49,2004,2004-48,48,2,1,#N/A,,
12/6/2004 0:00,1.65927,1.44996,1551,2052,5428,1346,374356,50,2004,2004-49,49,2,3,#N/A,,
12/13/2004 0:00,1.81341,1.61745,1670,2071,5755,1379,355806,51,2004,2004-50,50,1,7,#N/A,,
12/20/2004 0:00,2.37626,2.19112,1856,1807,5689,1288,259639,52,2004,2004-51,51,0,10,#N/A,,
12/27/2004 0:00,2.77052,2.56649,2252,1993,7279,1332,283617,53,2004,2004-52,52,6,25,#N/A,,
1/3/2005 0:00,2.40064,2.17645,2010,2450,8041,1383,369455,2,2005,2005-1,1,1,32,#N/A,,
1/10/2005 0:00,2.54155,2.20171,2188,2982,8323,1342,378024,3,2005,2005-2,2,4,34,#N/A,,
1/17/2005 0:00,2.85871,2.53012,2199,3682,9328,1348,368678,4,2005,2005-3,3,5,52,#N/A,,
1/24/2005 0:00,3.55011,3.06524,2747,5364,12422,1334,405254,5,2005,2005-4,4,8,51,#N/A,,
1/31/2005 0:00,4.58591,3.98061,3086,7650,16192,1303,406772,6,2005,2005-5,5,11,58,#N/A,,
2/7/2005 0:00,5.05809,4.59568,3626,8854,19369,1324,421461,7,2005,2005-6,6,15,59,#N/A,,
2/14/2005 0:00,5.44151,4.75197,3834,8400,19931,1330,419426,8,2005,2005-7,7,39,58,#N/A,,
2/21/2005 0:00,4.4729,4.17962,3720,6759,16630,1280,397883,9,2005,2005-8,8,69,54,#N/A,,
2/28/2005 0:00,3.6752,3.45359,2997,5343,13234,1268,383196,10,2005,2005-9,9,69,43,#N/A,,
3/7/2005 0:00,3.3353,3.15852,2728,4494,11601,1227,367292,11,2005,2005-10,10,58,33,#N/A,,
3/14/2005 0:00,2.76224,2.6732,2416,3513,9502,1185,355454,12,2005,2005-11,11,78,22,#N/A,,
3/21/2005 0:00,2.46844,2.35161,2145,2771,7900,1148,335940,13,2005,2005-12,12,88,25,#N/A,,
3/28/2005 0:00,2.00081,1.89243,1827,2133,6329,1103,334438,14,2005,2005-13,13,126,18,#N/A,,
4/4/2005 0:00,1.54319,1.5249,1422,1737,4816,1048,315823,15,2005,2005-14,14,137,9,#N/A,,
4/11/2005 0:00,1.50195,1.41134,1356,1603,4445,1000,314948,16,2005,2005-15,15,153,6,#N/A,,
4/18/2005 0:00,1.22918,1.25068,1096,1469,3825,978,305833,17,2005,2005-16,16,161,1,#N/A,,
4/25/2005 0:00,1.21854,1.20702,1117,1411,3646,971,302065,18,2005,2005-17,17,173,5,#N/A,,
5/2/2005 0:00,1.15832,1.07895,903,1136,2990,923,277120,19,2005,2005-18,18,193,0,#N/A,,
5/9/2005 0:00,1.249,1.14521,979,1115,3012,878,263009,20,2005,2005-19,19,158,0,#N/A,,
5/16/2005 0:00,1.16888,1.06124,805,926,2531,825,238494,21,2005,2005-20,20,131,0,#N/A,,
5/23/2005 0:00,1.07888,1.0568,687,695,2056,687,194550,22,2005,2005-21,21,93,0,#N/A,,
5/30/2005 0:00,1.23059,1.25193,693,678,2099,637,167661,23,2005,2005-22,22,63,0,#N/A,,
6/6/2005 0:00,1.14747,1.01419,548,594,1744,603,171960,24,2005,2005-23,23,38,0,#N/A,,
6/13/2005 0:00,1.00254,1.04197,573,507,1614,582,154899,25,2005,2005-24,24,30,0,#N/A,,
6/20/2005 0:00,0.957569,0.954027,580,507,1628,587,170645,26,2005,2005-25,25,22,0,#N/A,,
6/27/2005 0:00,0.894837,0.84823,497,452,1359,550,160216,27,2005,2005-26,26,1,0,#N/A,,
7/4/2005 0:00,0.798205,0.841872,426,390,1198,533,142302,28,2005,2005-27,27,1,0,#N/A,,
7/11/2005 0:00,0.757812,0.730894,389,361,1148,524,157068,29,2005,2005-28,28,3,0,#N/A,,
7/18/2005 0:00,0.825963,0.713432,333,364,1068,507,149699,30,2005,2005-29,29,1,0,#N/A,,
7/25/2005 0:00,0.744927,0.670677,328,327,990,492,147612,31,2005,2005-30,30,5,0,#N/A,,
8/1/2005 0:00,0.787049,0.689278,331,326,982,488,142468,32,2005,2005-31,31,12,0,#N/A,,
8/8/2005 0:00,0.684724,0.704929,319,350,1023,479,145121,33,2005,2005-32,32,2,0,#N/A,,
8/15/2005 0:00,0.747361,0.615903,330,326,928,480,150673,34,2005,2005-33,33,5,0,#N/A,,
8/22/2005 0:00,0.673974,0.609426,292,311,922,428,151290,35,2005,2005-34,34,12,0,#N/A,,
8/29/2005 0:00,0.869662,0.680259,342,367,1033,420,151854,36,2005,2005-35,35,16,0,#N/A,,
9/5/2005 0:00,0.899529,0.775488,338,396,1061,416,136817,37,2005,2005-36,36,21,0,#N/A,,
9/12/2005 0:00,0.854635,0.683421,302,383,1026,408,150127,38,2005,2005-37,37,43,0,#N/A,,
9/19/2005 0:00,1.01123,0.781075,368,516,1219,419,156067,39,2005,2005-38,38,45,0,#N/A,,
9/26/2005 0:00,0.977808,0.806943,381,484,1204,447,149205,40,2005,2005-39,39,36,0,#N/A,,
10/3/2005 0:00,1.17778,1.07635,1172,1256,3586,1113,333164,41,2005,2005-40,40,35,2,#N/A,,
10/10/2005 0:00,1.21947,1.05869,1285,1247,3582,1160,338343,42,2005,2005-41,41,56,2,#N/A,,
10/17/2005 0:00,1.3069,1.11523,1393,1525,4122,1216,369609,43,2005,2005-42,42,63,1,#N/A,,
10/24/2005 0:00,1.33931,1.12381,1439,1599,4248,1237,377999,44,2005,2005-43,43,76,0,#N/A,,
10/31/2005 0:00,1.58374,1.25489,1639,1894,5005,1280,398840,45,2005,2005-44,44,107,6,#N/A,,
11/7/2005 0:00,1.47072,1.33661,1563,1929,5038,1272,376924,46,2005,2005-45,45,102,1,#N/A,,
11/14/2005 0:00,1.6112,1.37864,1679,1951,5276,1277,382697,47,2005,2005-46,46,97,4,#N/A,,
11/21/2005 0:00,1.82699,1.60829,1666,1593,4802,1301,298578,48,2005,2005-47,47,91,5,#N/A,,
11/28/2005 0:00,1.77482,1.48311,1858,2176,5966,1325,402264,49,2005,2005-48,48,85,8,#N/A,,
12/5/2005 0:00,1.94451,1.65374,1987,2463,6371,1328,385248,50,2005,2005-49,49,90,11,#N/A,,
12/12/2005 0:00,2.35512,2.00679,2241,3063,7697,1318,383548,51,2005,2005-50,50,69,15,#N/A,,
12/19/2005 0:00,3.10878,2.56857,2696,3058,8577,1287,333921,52,2005,2005-51,51,63,39,#N/A,,
12/26/2005 0:00,3.28238,3.05278,2678,2561,8842,1273,289638,53,2005,2005-52,52,38,69,#N/A,,
1/2/2006 0:00,2.62914,2.42504,2422,2366,8339,1319,343871,1,2006,2006-1,1,34,69,#N/A,,
1/9/2006 0:00,2.2515,2.00195,2272,2921,7882,1339,393716,2,2006,2006-2,2,37,58,#N/A,,
1/16/2006 0:00,2.35858,2.05869,2249,3150,7858,1297,381699,3,2006,2006-3,3,33,78,#N/A,,
1/23/2006 0:00,2.41881,2.21277,2643,3646,9114,1331,411882,4,2006,2006-4,4,6,88,#N/A,,
1/30/2006 0:00,2.52752,2.3222,2612,4153,9551,1320,411291,5,2006,2006-5,5,3,126,#N/A,,
2/6/2006 0:00,2.64954,2.49279,2754,4593,10427,1311,418286,6,2006,2006-6,6,4,137,#N/A,,
2/13/2006 0:00,3.12935,2.79489,2624,4979,11226,1288,401661,7,2006,2006-7,7,6,153,#N/A,,
2/20/2006 0:00,3.12442,2.96911,2753,5284,11901,1288,400827,8,2006,2006-8,8,12,161,#N/A,,
2/27/2006 0:00,3.13099,2.83959,2579,5008,11343,1275,399459,9,2006,2006-9,9,7,173,#N/A,,
3/6/2006 0:00,3.08261,2.77799,2564,5106,11261,1257,405365,10,2006,2006-10,10,12,193,#N/A,,
3/13/2006 0:00,2.64431,2.47287,2330,4154,9322,1241,376971,11,2006,2006-11,11,21,158,#N/A,,
3/20/2006 0:00,2.42295,2.18061,1895,3709,8064,1217,369804,12,2006,2006-12,12,20,131,#N/A,,
3/27/2006 0:00,2.31141,2.0168,1697,3393,7313,1165,362605,13,2006,2006-13,13,22,93,#N/A,,
4/3/2006 0:00,1.86383,1.64101,1437,2660,5738,1133,349662,14,2006,2006-14,14,26,63,#N/A,,
4/10/2006 0:00,1.44943,1.35829,1181,2014,4547,1087,334760,15,2006,2006-15,15,47,38,#N/A,,
4/17/2006 0:00,1.30227,1.1428,959,1479,3550,1045,310641,16,2006,2006-16,16,65,30,#N/A,,
4/24/2006 0:00,1.13459,1.04031,836,1382,3177,1017,305389,17,2006,2006-17,17,55,22,#N/A,,
5/1/2006 0:00,1.06255,0.964347,745,1208,2780,958,288278,18,2006,2006-18,18,63,0,#N/A,,
5/8/2006 0:00,1.03428,0.937982,745,1039,2592,919,276338,19,2006,2006-19,19,80,0,#N/A,,
5/15/2006 0:00,1.01791,0.947449,715,969,2428,877,256267,20,2006,2006-20,20,132,0,#N/A,,
5/22/2006 0:00,0.918151,0.891918,699,764,2061,783,231075,21,2006,2006-21,21,238,0,#N/A,,
5/29/2006 0:00,0.93099,0.864643,572,561,1645,649,190252,22,2006,2006-22,22,380,0,#N/A,,
6/5/2006 0:00,0.857294,0.97032,754,626,2075,635,213847,23,2006,2006-23,23,410,0,#N/A,,
6/12/2006 0:00,0.786294,0.84439,514,447,1430,615,169353,24,2006,2006-24,24,486,0,#N/A,,
6/19/2006 0:00,0.719426,0.77487,463,409,1300,610,167770,25,2006,2006-25,25,444,0,#N/A,,
6/26/2006 0:00,0.718868,0.821372,466,390,1271,572,154741,26,2006,2006-26,26,382,0,#N/A,,
7/3/2006 0:00,0.774807,0.872745,437,402,1215,565,139216,27,2006,2006-27,27,339,0,#N/A,,
7/10/2006 0:00,0.76598,0.922635,549,511,1617,577,175259,28,2006,2006-28,28,243,0,#N/A,,
7/17/2006 0:00,0.642809,0.899487,541,440,1553,564,172654,29,2006,2006-29,29,150,0,#N/A,,
7/24/2006 0:00,0.622033,0.843082,502,403,1455,564,172581,30,2006,2006-30,30,129,0,#N/A,,
7/31/2006 0:00,0.616326,0.881824,508,430,1428,551,161937,31,2006,2006-31,31,67,0,#N/A,,
8/7/2006 0:00,0.685694,0.817145,473,435,1373,547,168024,32,2006,2006-32,32,54,0,#N/A,,
8/14/2006 0:00,0.622697,0.8715,510,466,1457,536,167183,33,2006,2006-33,33,27,0,#N/A,,
8/21/2006 0:00,0.611817,0.738621,404,379,1138,503,154071,34,2006,2006-34,34,3,0,#N/A,,
8/28/2006 0:00,0.638831,0.797966,398,457,1224,488,153390,35,2006,2006-35,35,11,0,#N/A,,
9/4/2006 0:00,0.806627,1.01394,492,506,1463,491,144289,36,2006,2006-36,36,4,0,#N/A,,
9/11/2006 0:00,0.762448,0.880936,446,521,1406,487,159603,37,2006,2006-37,37,11,0,#N/A,,
9/18/2006 0:00,0.813406,0.943366,511,534,1487,455,157627,38,2006,2006-38,38,9,0,#N/A,,
9/25/2006 0:00,0.807934,0.891546,476,512,1433,469,160732,39,2006,2006-39,39,12,0,#N/A,,
10/2/2006 0:00,1.15384,1.20322,1434,1699,4513,1323,375076,40,2006,2006-40,40,12,1,#N/A,,
10/9/2006 0:00,1.14819,1.05788,1278,1602,4072,1361,384920,41,2006,2006-41,41,14,1,#N/A,,
10/16/2006 0:00,1.22736,1.13054,1543,1830,4737,1425,419005,42,2006,2006-42,42,11,3,#N/A,,
10/23/2006 0:00,1.21744,1.12552,1582,1996,4888,1445,434287,43,2006,2006-43,43,22,1,#N/A,,
10/30/2006 0:00,1.32813,1.20808,1672,2270,5380,1473,445334,44,2006,2006-44,44,18,5,#N/A,,
11/6/2006 0:00,1.47754,1.34952,2112,2393,6139,1497,454901,45,2006,2006-45,45,16,12,#N/A,,
11/13/2006 0:00,1.5339,1.4689,2355,2681,6668,1474,453945,46,2006,2006-46,46,36,2,#N/A,,
11/20/2006 0:00,1.91269,1.82767,2188,2202,6156,1488,336822,47,2006,2006-47,47,25,5,#N/A,,
11/27/2006 0:00,1.838,1.6656,2573,2792,7530,1486,452089,48,2006,2006-48,48,30,12,#N/A,,
12/4/2006 0:00,1.95376,1.85968,2643,3244,8122,1493,436741,49,2006,2006-49,49,54,16,#N/A,,
12/11/2006 0:00,2.40407,2.38891,3270,4470,10396,1492,435177,50,2006,2006-50,50,58,21,#N/A,,
12/18/2006 0:00,2.87453,2.78978,3387,4065,10192,1435,365334,51,2006,2006-51,51,93,43,#N/A,,
12/25/2006 0:00,3.02597,3.11549,3243,2868,8913,1359,286087,52,2006,2006-52,52,108,45,#N/A,,
1/1/2007 0:00,2.37817,2.26942,2927,2481,8386,1490,369521,1,2007,2007-1,1,154,36,#N/A,,
1/8/2007 0:00,2.09232,1.86355,2507,2756,7761,1467,416464,2,2007,2007-2,2,185,35,#N/A,,
1/15/2007 0:00,2.29396,1.99986,2548,3248,7909,1470,395477,3,2007,2007-3,3,181,56,#N/A,,
1/22/2007 0:00,2.74501,2.4406,3410,4684,10888,1495,446119,4,2007,2007-4,4,155,63,#N/A,,
1/29/2007 0:00,3.04434,2.83018,3456,5648,12120,1472,428241,5,2007,2007-5,5,156,76,#N/A,,
2/5/2007 0:00,3.49999,3.12343,3840,6995,14197,1484,454533,6,2007,2007-6,6,111,107,#N/A,,
2/12/2007 0:00,3.57851,3.27019,3879,6668,14031,1461,429057,7,2007,2007-7,7,95,102,#N/A,,
2/19/2007 0:00,3.28979,3.17757,3728,6537,14048,1460,442099,8,2007,2007-8,8,57,97,#N/A,,
2/26/2007 0:00,2.89149,2.72364,3016,5429,11801,1428,433281,9,2007,2007-9,9,42,91,#N/A,,
3/5/2007 0:00,2.62075,2.50201,2798,4937,10715,1408,428255,10,2007,2007-10,10,15,85,#N/A,,
3/12/2007 0:00,2.53387,2.4272,2668,4031,9597,1361,395394,11,2007,2007-11,11,84,90,#N/A,,
3/19/2007 0:00,2.07251,1.96041,2049,3307,7562,1333,385735,12,2007,2007-12,12,213,69,#N/A,,
3/26/2007 0:00,1.87084,1.5914,1664,2508,6148,1303,386327,13,2007,2007-13,13,204,63,#N/A,,
4/2/2007 0:00,1.40042,1.36978,1445,1803,4958,1284,361955,14,2007,2007-14,14,269,38,#N/A,,
4/9/2007 0:00,1.46887,1.36317,1429,1821,4869,1240,357183,15,2007,2007-15,15,719,34,#N/A,,
4/16/2007 0:00,1.15514,1.1737,1257,1523,4179,1206,356055,16,2007,2007-16,16,967,37,#N/A,,
4/23/2007 0:00,1.07901,1.06358,1152,1386,3695,1152,347413,17,2007,2007-17,17,1032,33,#N/A,,
4/30/2007 0:00,0.98492,0.969711,969,1143,3077,1119,317311,18,2007,2007-18,18,893,0,#N/A,,
5/7/2007 0:00,1.03325,0.965362,917,1055,2860,1057,296262,19,2007,2007-19,19,686,0,#N/A,,
5/14/2007 0:00,0.926649,0.856749,815,861,2442,1025,285031,20,2007,2007-20,20,460,0,#N/A,,
5/21/2007 0:00,0.9201,0.863346,761,785,2243,925,259803,21,2007,2007-21,21,328,0,#N/A,,
5/28/2007 0:00,0.954094,0.93537,722,652,2058,831,220020,22,2007,2007-22,22,193,0,#N/A,,
6/4/2007 0:00,0.763278,0.745569,628,510,1679,796,225197,23,2007,2007-23,23,125,0,#N/A,,
6/11/2007 0:00,0.81722,0.740428,598,469,1614,771,217982,24,2007,2007-24,24,92,0,#N/A,,
